id,name,original_price,sell_price,discount,variations_types,stocks,size
249951,Apple Himachal,165,150,10,1000|500|2000,100,1
250122,Banana - Yelakki,43,39,10,1000|500|2000,100,1
250103,Banana - Nendran,99,90,10,1000|500|2000,0,1
250110,Banana - Red,99,90,10,1000|500|2000,0,1
250174,Pomegranate - Kabul,143,130,10,1000|500|2000,0,1
250624,Avocado (Appox : 1 kg /4 Pc),429,390,10,[],0,1
279427,Dragon Fruit Imported,275,250,10,1000|500|2000,0,1
249882,Orange Nagpur,83,75,10,1000|500|2000,0,1
249965,Musk Melon (Appox: 1.25 kg/each),77,70,10,[],100,0
250223,Sapota (Chikoo),77,70,10,1000|500|2000,100,1
250222,Papaya (Appox: 1.5 kg/each),66,60,10,[],100,0
SB0039,Mango Senduran,219,199,10,1000|500|250,0,1
250231,Mango - Banganapalli,219,199,10,1000|500|2000,0,1
250116,Banana - Robusta,29,26,11,1000|500|2000,100,1
SB0037,Water Melon Green (Appox: 4 kg/each),109,109,0,[],0,0
249961,Apple Royal Gala,209,190,10,1000|500|2000,100,1
249944,Apple Granny Smith,264,240,10,1000|500|2000,100,1
350486,Thai Guava,88,80,10,[],0,0
250133,Pear - Green Anjou,385,350,10,1000|500|2000,100,1
SB0089,Orange Kinnow,77,70,10,500|1000|2000|3000|4000,100,1
249877,Mosambi,83,75,10,1000|500|2000,100,1
250077,Water - Melon Kiran(Appox: 2 kg To 2.5 kg/each),99,90,10,[],100,0
250095,Pineapple  (Appox:1.3 kg/each),61,55,10,[],100,0
249889,Orange Valecia,198,180,10,1000|500|2000,100,1
250145,Pear - Red Anjou,385,350,10,1000|500|2000,0,1
249963,Apple Wash Red Delicious,209,190,10,1000|500|2000,100,1
249926,Apple Fuji,253,230,10,1000|500|2000,100,1
350478,Persimon,300,300,0,1000|500|2000,100,1
250215,Ber fruit,110,100,10,500|1000|2000|3000|4000,100,1
338005,Orange Imported,300,300,0,500|1000|2000,0,1
403952,Blueberry 125 g (Packed),292,260,11,[],0,0
298938,Kiwi (per piece),21,19,10,[],100,0
285818,Apple Shimla,360,327,10,1000|500|2000,0,1
249953,Apples Jammu-Kashmir,142,129,10,1000|500|2000,0,1
250216,Custard - Apple,209,190,10,1000|500|2000,0,1
368287,Fig Fruit (Packed-9 Pcs),55,50,10,[],0,0
279433,Grape Fruit Imported,198,180,10,1000|500|2000,100,1
250200,Grapes Green Seedless (Packed 1 kg),66,60,10,[],0,0
250205,Grapes Red Globe - Indian,275,250,10,[],0,0
250219,Guava,97,97,0,1000|500|2000,0,1
340409,Kids Apple(1kg Packed),165,150,10,1000|2000,0,1
398436,Kiw Gold (Pack of 3),180,140,23,[],0,0
388437,Kiwi (Pack of 3),64,58,10,[],0,0
250406,Mango Totapuri,193,175,10,1000|500|2000,0,1
249885,Orange navel,132,132,0,1000|500|2000,0,1
253355,Plums Imported,360,360,0,1000|500|2000,0,1
317850,Strawberry (Packed - 18 Pcs),130,79,40,[],100,0
368273,Sweet Tamrind -250 g Packed,130,95,27,[],100,0
250193,Grapes Black Seedless Loose,193,175,10,250|500|1000|2000,0,1
368288,Cherry (250G Packed),400,390,3,[],0,0
SB0040,Grapes Black Seedless (Approx:800g TO 1kg),165,150,10,[],0,0
SB0041,Mango Alphonso,291,291,0,[],0,0
SB0043,Mango Baneshan,225,225,0,1000|500|2000,0,1
SB0042,Mango Mulgoba,206,206,0,1000|500|2000,0,1
250383,Mango Raw,85,85,0,1000|500|2000,0,1
SB0038,Water melon Yellow (Appox: 2 kg/each),121,121,0,[],0,0
SB0069,White Bitter Gourd,273,273,0,500|1000|2000,0,0
350487,Paneer Fruit,330,330,0,250|500|1000|2000,0,1
SB0076,Passion Fruit,275,275,0,250|500|1000|2000,0,1
SB0080,Mango Kalapaud,110,110,0,500|1000|2000|3000|4000,0,1
SB0052,Mango - Raspuri,110,110,0,500|1000|2000|3000|4000,0,1
SB0081,Mango Sugar Baby,110,110,0,500|1000|2000|3000|4000,0,1
SB0082,Mango Mallika,110,110,0,500|1000|2000|3000|4000,0,1
SB0084,Mango Badami,110,110,0,500|1000|2000|3000|4000,0,1
SB0085,Mango Kesar,110,110,0,500|1000|2000|3000|4000,0,1
SB0086,Mango Dasheri,110,110,0,500|1000|2000|3000|4000,0,1
SB0087,Apple Washington,110,110,0,500|1000|2000|3000|4000,0,1
SB0088,Musk Melon Melody,110,110,0,500|1000|2000|3000|4000,0,1
SB0090,Pomelo,110,110,0,500|1000|2000|3000|4000,0,1
249415,Orange Mandarin,110,110,0,500|1000|2000|3000|4000,0,1
249959,Apple Rose,248,225,10,500|1000|2000|3000|4000,0,1
250196,Soursop,110,110,0,500|1000|2000|3000|4000,0,1
368187,Peach,110,110,0,500|1000|2000|3000|4000,0,1
368284,Jamun,110,110,0,500|1000|2000|3000|4000,0,1
368277,Dates,110,110,0,500|1000|2000|3000|4000,0,1
405152,Endive,83,83,0,1000|500|2000,0,1
405143,Galangal (Thai Ginger) 100 g,55,55,0,[],0,0
250667,Herbs - Basil,200,200,0,1000|500|250,0,1
250658,Leeks,182,182,0,1000|500|2000,0,1
405202,Lemon Garss,143,130,10,1000|500|2000,0,1
250645,Lettuce - Green,275,250,10,1000|500|2000,0,1
250647,Lettuce - Iceberg,242,220,10,1000|500|2000,0,1
277862,Onion Sambar Peeled 200 g (Packed),54,54,0,[],0,0
357258,Oyster Mushroom (Packed-200g),61,55,10,[],0,0
250662,Pak Choy,198,180,10,1000|500|2000,0,1
250538,Radish - Red,125,125,0,1000|500|250,0,1
307012,Sprouts Channa-200g,44,40,10,[],100,0
307011,Sprouts Green Gram-200g,40,33,18,[],100,0
307009,Sprouts Horse Gram-200g,40,33,18,[],100,0
307010,Sprouts Mixed-200g,40,30,25,[],100,0
277865,Sweet corn EA,30,30,0,1000|500|2000,0,1
250631,Tomato Cherry Red,138,138,0,1000|500|2000,0,1
250664,Zucchini - Green,193,175,10,1000|500|2000,0,1
250665,Zucchini - Yellow,193,175,10,1000|500|2000,0,1
368136,Mushroom Button  (Packed-200 g),55,49,11,[],100,0
251150,American Sweet Corn (Appox : 400g - 450),26,23,12,[],100,0
250638,Broccoli,275,250,10,1000|500|2000,100,1
250656,Cabbage - Chinese,198,198,0,[],0,0
250657,Cabbage - Red,143,130,10,[],0,0
250634,Capsicum - Red,439,399,10,1000|500|2000,0,1
250635,Capsicum - Yellow,439,399,10,1000|500|2000,0,1
250660,Celery,275,250,10,1000|500|2000,0,1
277860,Garlic Peeled (pack) 200 g,75,50,34,[],100,0
250659,Turnip,138,138,0,1000|500|2000,0,1
342749,Avarai Peeled Seeds Packed-250 g,329,299,10,[],0,0
250625,Baby Corn - Peeled,303,275,10,1000|500|2000,100,1
368181,Baby Corn Peeled -250g(Packed),60,50,17,[],100,0
250626,Baby Corn unpeeled 500 g (Packed),85,85,0,[],0,0
405186,Trikaya  Thai Bird Chilli 20g,25,25,0,[],0,0
405141,"Trikaya American Kale - Curled Leaves, 250g Pack",109,109,0,[],0,0
405155,Trikaya Basil Italian 10G Pack,20,20,0,[],0,0
405146,Trikaya Chinese Gailon Broccoli 250 g,66,66,0,[],0,0
405156,Trikaya Chives 10G,21,21,0,[],0,0
405140,Trikaya Greens - Swiss Chard Multi Coloured 250g Pack,68,68,0,[],0,0
405149,"Trikaya Lettuce - Lollo Rosso, 250g Pack",38,38,0,[],0,0
405147,Trikaya Lettuce Iceberg 250G,53,53,0,[],0,0
405138,Trikaya Lettuce Rom Green 250G,46,46,0,[],0,0
405158,Trikaya Oregano Leaves 10g Pack,22,22,0,[],0,0
405194,"Trikaya Pak Choi - Baby, 250g Pack",68,68,0,[],0,0
405154,Trikaya Roquette/Arugula 100G,73,73,0,[],0,0
405161,Trikaya Rosemary 50G,29,29,0,[],0,0
405162,Trikaya Sage 10G,28,28,0,[],0,0
405193,Trikaya Spinach Baby 100G,85,85,0,[],0,0
405163,Trikaya Sweet Marjoram 10G,29,29,0,[],0,0
405215,Trikaya Tarragon 10G,21,21,0,[],0,0
405190,"Trikaya Thai - Mix, 125g Pack",109,109,0,[],0,0
405216,Trikaya Thyme 10G,21,21,0,[],0,0
405217,Alfalfa Sprouts 50g,40,40,0,[],0,0
250505,Onion 2 KG Packed,84,76,10,[],100,0
250528,Potato Packed 1KG,32,29,10,[],100,0
250591,Ginger Packed- 500g,39,35,11,[],100,0
250511,Garlic 500G Packed,55,50,10,[],100,0
252663,Coconut (Per piece),24,21,13,[],100,0
250679,Coriander Leaf Bunch(Appox: 250g-300 g),28,15,47,[],100,0
250680,Curry Leaves Bunch (each) (Appox:200g-250 g),17,13,24,[],100,0
SB0070,Dill Leaves (Appox: 450 G-470 G),28,18,36,[],100,0
250683,Methi leaves Bunch (each)(Appox: 400g - 470 g),28,18,36,[],100,0
250685,Mint leaves Bunch (each)(Appox:250g - 300g),22,20,10,[],100,0
250687,Palak Leaves Bunch (each)(Appox:400g -450g),28,20,29,[],0,0
250689,Spring Onion Leaves Bunch (Appox: 450 g - 500g),33,25,25,[],100,0
250569,Bottle Gourd Per Piece  (each),33,30,10,[],100,0
250607,Ridge - Gourd,43,39,10,1000|500|2000,100,1
250931,Cauliflower (Per Piece),43,39,10,[],100,0
250608,Snake Gourd,39,35,11,1000|500|2000,100,1
250438,Cucumber - English,33,30,10,1000|500|2000,100,1
250457,Brinjal - Stripped,66,60,10,1000|500|250,100,1
250443,Cucumber - Malabar (Per Piece Appo: 1.5 kg),55,40,28,[],100,0
273395,Carrot Delhi,55,50,10,1000|500|2000,100,1
250641,Beans - Haricot Verts,39,35,11,1000|500|250,100,1
250462,Capsicum - Green,99,90,10,1000|500|2000,100,1
250561,Bitter Gourd,50,45,10,1000|500,0,1
250445,Brinjal Long Green,88,80,10,1000|500|250,0,1
261478,Lemon,55,50,10,1000|500|250,100,1
250554,Beet - Root,88,80,10,1000|500|2000,100,1
250474,Bhendi,99,90,10,1000|500|250,100,1
250460,Brinjal - Round Suphal,88,80,10,1000|500|250,100,1
250543,Amla,132,120,10,1000|500|250,100,1
250574,Coccinea,50,45,10,1000|500|2000,100,1
250465,Chilli - Bajji,88,80,10,1000|500|250,100,1
250468,Chilli - Green,66,60,10,1000|500|250,100,1
250492,Beans - French Round,39,35,11,1000|500|250,100,1
250417,Tomato - Country,41,37,10,1000|500|2000,100,1
250521,Cabbage,55,50,10,[],100,0
347642,Carrot Ooty,165,150,10,1000|500|2000,100,1
250490,Green Peas,55,50,10,1000|500|250,100,1
250437,Tomato - Hybrid,41,37,10,500|1000|2000,100,1
250440,Cucumber - Hybrid,17,15,12,1000|500|2000,100,1
250539,Radish-White,44,40,10,1000|500|250,100,1
250549,Banana - Stem (Each),17,15,12,[],100,0
250545,Banana Flower (each),22,20,10,[],100,0
250553,Banana - Raw,61,55,10,1000|500|2000,100,1
250600,Disco Pumpkin,44,40,10,[],0,0
250570,Chow Chow,28,25,11,1000|500|2000,100,1
250930,Knol - Khol,44,40,10,1000|500|2000,0,1
250609,Tapioca,55,50,10,1000|500|2000,100,1
250611,Yam (Per Piece) (Appox: 2 kg/each),83,75,10,[],100,0
250604,Pumpkin - Sweet (Appox : 3.5 kg/each),81,73,10,[],0,0
250544,Ash Gourd (Appox : 3 kg /Pc),66,60,10,[],0,0
250586,Colacasia,39,35,11,[],100,0
250512,Baby Potato (1 kg Packed),60,55,9,[],100,0
250509,Onion White,125,99,21,[],100,0
250615,Drumstick (Per piece),22,20,10,[],0,0
SB0068,Ground Pods (Packed 1Kg),110,100,10,[],0,0
250531,Sweetpotato,44,40,10,1000|500|250,0,1
250547,Banana Leaf,19,19,0,[],0,0
250485,Beans Chikkadi,128,128,0,500|1000|2000,0,1
250536,Carrot,99,99,0,1000|500|250,0,1
279522,Double - Beans,47,47,0,1000|500|2000,0,1
250507,Onion Sambar,110,100,10,[],0,0
368197,Parval 500 g (Packed),80,80,0,[],0,0
261662,Tender Coconut,61,61,0,[],0,0
SB0077,Cucumber White,39,35,11,500|1000|2000,0,1
106367,Fresh White Prwans-Medium,710,489,32,1000|2000|3000,100,1
106224,Fresh White Pomfret-Medium,1348,929,32,1000|2000|3000,100,1
106227,Fresh Black Pomfret-Medium,927,639,32,1000|2000|3000,100,1
106244,Fresh Indian Salmon Large Fish,1159,799,32,1000|2000|3000,0,1
134262,Fresh Seer fish-Small,1014,699,32,1000|2000|3000,100,1
277174,Seer Steeks,1275,879,32,500|1000|2000|3000|4000,100,1
SB0094,Atl Salmon,2319,1599,32,500|1000|2000|3000,0,1
106271,Pink Perch Fresh,507,349,32,1000|2000|3000,0,1
106312,Fresh Sole,565,389,32,500|1000|2000|3000|4000,100,1
SB0078,Paiya Fish,637,439,32,500|1000|2000,0,1
106268,Pearl Spot,711,490,32,500|1000|2000|3000|4000,100,1
106220,Fresh Mackerel Large Fish,391,269,32,1000|2000|3000,100,1
246792,Fresh Roopchand Fish,289,199,32,1000|2000|3000,100,1
107449,Fresh Large Rohu,240,165,32,1000|2000|3000,100,1
107443,Fresh Catla Fish,282,194,32,1000|2000|3000,100,1
106254,Lady Fish,971,669,32,500|1000|2000|3000|4000,100,1
106316,Tuna,434,299,32,500|1000|2000|3000|4000,0,1
106261,Barra Chuda,579,399,32,500|1000|2000|3000|4000,0,1
106369,Tiger Prawns,1884,1299,32,500|1000|2000|3000|4000,0,1
106384,Squid,507,349,32,500|1000|2000|3000|4000,100,1
106306,Red Snapper,811,559,32,500|1000|2000|3000|4000,100,1
SB0091,Sea Prawn'S,1101,759,32,500|1000|2000|3000|4000,0,1
106374,Blue Crab,942,649,32,500|1000|2000|3000|4000,0,1
107558,Fresh Tilapia Fish,260,179,32,1000|2000|3000,0,1
106235,Croacker,579,399,32,500|1000|2000|3000|4000,0,1
106288,Sea Bass,869,599,32,500|1000|2000|3000|4000,0,1
107563,Pungus,289,199,32,500|1000|2000|3000|4000,0,1
106216,Sardine,376,259,32,500|1000|2000|3000|4000,0,1
SB0079,Mullet,566,390,32,500|1000|2000|3000|4000,0,1
SB0092,Silver Fish,376,259,32,500|1000|2000|3000,0,1
SB0095,Sliver Belli,248,248,0,[],0,0
SB0096,Rock Lobster,248,248,0,500|1000|2000|3000,0,1
146624,Mutton Biryani Pieces,985,679,32,1000|2000|3000,100,1
146620,Mutto Chops,1014,699,32,1000|2000|3000,100,1
326807,Mutton Leg,1159,799,32,1000|2000|3000,0,1
SB0067,Mutton Curry cut,1052,1052,0,1000|2000|3000,0,1
SB0066,Mutton Boneless,1555,1555,0,1000|2000|3000,0,1
146675,Mutton Paya-6 Pieces,605,605,0,[],0,0
326815,Mutton leg-Boneless,1555,1555,0,1000|2000|3000,0,1
SB0064,Mutton Mince,1555,1555,0,1000|2000|3000,0,1
326812,Mutton Soup Pieces (Nalli),205,205,0,[],0,0
101678,Mutton Liver,399,399,0,500|1000|2000|3000|4000,0,1
102592,Broiler Chicken Drumstick-Without skin,420,289,32,1000|2000|3000,100,1
319569,Boiler Chicken Curry cut without skin,351,351,0,[],0,0
334392,Boiler chicken Lollypop,434,299,32,1000|2000|3000,0,1
102582,Broiler Chicken Breast,758,758,0,1000|2000|3000,0,1
319957,Broiler Chicken Breast-Boneless,507,349,32,1000|2000|3000,0,1
102587,Broiler Chicken legs-Boneless,507,349,32,1000|2000|3000,100,1
128069,Broiler Chicken Pieces-Without skin,333,229,32,1000|2000|3000,100,0
102590,Broiler Chicken Wings With Skin,347,239,32,1000|2000|3000,100,1
102615,Broiler Chicken With Skin,304,209,32,1000|2000|3000,0,1
SB0065,Chicken Mince,567,567,0,1000|2000|3000,0,1
270201,Chicken Tandoori Without Skin,516,516,0,1000|2000|3000,0,1
208647,Boiler Chicken Gizzard,173,119,32,500|1000|2000|3000,0,1
102596,Boiler Chicken Liver,138,95,32,500|1000|2000|3000,0,1
128329,Boiler Chicken With Skin Pieces Apx 1-1.2Kg,304,209,32,[],0,0
SB0093,Malabar Travlly,637,439,32,500|1000|2000|3000,0,1
342122,Rabbit,1116,769,32,500|1000|2000|3000,0,1
127123,Turkey,696,480,32,500|1000|2000|3000,0,1
288052,Country Chicken,550,379,32,500|1000|2000|3000,0,1
328035,Duck,248,248,0,500|1000|2000|3000,0,1
394857,Kadaknath Chicken Whole(Approx 1Kg To 1.5Kg),666,459,32,[],0,0
